,Title,Genre,Time,Age,Actor,Area,Place,Period,Tag,URL
60,2021년 특선가족뮤지컬 “백설공주” - 구미,뮤지컬,65분,12개월이상 관람가능,,경북,대구보건대 인당아트홀,2021.12.18 ~ 2021.12.18,판매중,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21010908
61,가족뮤지컬 〈엄마까투리 - 먹구렁이와 생일파티〉 - 진주,뮤지컬,60분,24개월이상 관람가능,,경남,경상대학교 GNU컨벤션센터 대강당,2021.12.18 ~ 2021.12.19,판매중,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21011598
62,2021 가족라이브 뮤지컬 〈어린이캣〉－대구,뮤지컬,55분,전체관람가,,대구시,대백프라자 10층 프라임홀,2021.12.04 ~ 2021.12.05,판매중,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21009586
63,2021 가족라이브 뮤지컬 〈라푼젤〉 - 대구,뮤지컬,50분,전체관람가,,대구시,대백프라자 10층 프라임홀,2021.12.11 ~ 2021.12.12,판매중,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21009583
64,(서귀포)2021송년가족뮤지컬 “ 호두까기인형 ”,뮤지컬,60분,24개월이상 관람가능,,제주,서귀포예술의전당 대극장,2021.12.25 ~ 2021.12.25,판매중,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21011765
65,2022 라이브 가족뮤지컬 〈알라딘〉- 대구,뮤지컬,55분,전체관람가,,대구시,대백프라자 10층 프라임홀,2022.02.19 ~ 2022.02.20,판매중,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21012122
66,가족뮤지컬 〈출동! 슈퍼윙스 : 빅콘서트〉 - 원주,뮤지컬,60분,20개월이상 관람가능,,강원,원주 치악예술관,2022.02.05 ~ 2022.02.06,판매중,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21012099
67,가족뮤지컬 겨울이야기 (해운대),뮤지컬,50분,전체관람가,,부산시,해운대문화회관 해운홀,2022.02.05 ~ 2022.02.05,판매예정,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21012264
68,2022 라이브 가족뮤지컬 〈미녀와야수〉 - 대구,뮤지컬,55분,전체관람가,,대구시,대백프라자 10층 프라임홀,2022.01.29 ~ 2022.01.30,판매중,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21012123
69,(2022 용인) 가족라이브 뮤지컬 〈신데렐라〉,뮤지컬,50분,전체관람가,,경기,용인시문예회관 처인홀,2022.01.29 ~ 2022.01.29,판매중,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21011791
