,Title,Area,Period,URL
85,2022 가족라이브 뮤지컬 〈겨울이야기〉 - 부산,부산시,2022.01.08 ~ 2022.01.09,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21011318
86,［천안］싱어롱 콘서트 뮤지컬 ‘Live Show’ 〈무지개 물고기〉,충남,2022.01.08 ~ 2022.01.09,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21011194
87,가족뮤지컬 〈출동! 슈퍼윙스 : 빅콘서트〉 - 청주,충북,2022.01.08 ~ 2022.01.09,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21011866
88,2022년 특선가족뮤지컬 “신데렐라” - 포항,경북,2022.01.08 ~ 2022.01.09,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21012230
89,가족뮤지컬 백설공주 (양산),경남,2022.01.08 ~ 2022.01.08,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21012129
90,(서산) 2022 가족뮤지컬 “백설공주와 일곱난쟁이”,충남,2022.01.08 ~ 2022.01.08,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21011782
91,가족라이브 뮤지컬-어린이 캣 (구미),경북,2022.01.08 ~ 2022.01.08,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21012233
92,(2022 대구대백프라자) 가족뮤지컬 〈백설공주〉,대구시,2022.01.07 ~ 2022.01.16,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21010820
93,헬로카봇 뮤지컬 시즌6 〈흔들흔들 댄스파티〉,서울,2022.01.05 ~ 2022.01.16,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21012194
94,뮤지컬 스크루테이프의 편지,서울,2022.01.01 ~ 2022.03.31,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21011369
95,가족뮤지컬 〈출동! 슈퍼윙스 : 빅콘서트〉 - 대구,대구시,2022.01.01 ~ 2022.01.02,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21011757
96,2022년 특선가족뮤지컬 “신데렐라” - 진주,경남,2022.01.01 ~ 2022.01.02,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21012270
97,가족뮤지컬 겨울이야기（대구）,대구시,2021.12.31 ~ 2022.01.03,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21009849
98,뮤지컬 〈시카고〉 - 고양,경기,2021.12.31 ~ 2022.01.02,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21011301
99,가족뮤지컬 〈고고다이노 공룡대탐험〉 - 광주,광주시,2021.12.30 ~ 2021.12.31,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21010333
100,(제주) 2022 가족뮤지컬 “백설공주와 일곱난쟁이”,인천시,2021.12.28 ~ 2021.12.31,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21010863
101,2021년 특선가족뮤지컬 “피터팬” - 전주,전북,2021.12.26 ~ 2021.12.26,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21011358
102,2021 크리스마스특집 가족뮤지컬 〈루돌프의 크리스마스선물〉 - 울산,울산시,2021.12.26 ~ 2021.12.26,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21008408
103,“2021년” 가족뮤지컬 루돌프와 산타크로스 - 양산,경남,2021.12.26 ~ 2021.12.26,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21012098
104,크리스마스가족뮤지컬성냥팔이소녀(청주),충북,2021.12.25 ~ 2021.12.31,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21011317
105,락뮤지컬 〈프리즌〉－부산,부산시,2021.12.25 ~ 2021.12.26,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21010630
106,NEW신비아파트 뮤지컬 시즌4：비명동산의 초대장－전주,전북,2021.12.25 ~ 2021.12.26,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21010082
107,가족뮤지컬 〈꼬마버스 타요〉 - 창원,경남,2021.12.25 ~ 2021.12.26,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21010366
