,Title,Genre,Place,Time,Age,Period,TicketCast,Like_man,Like_woman,Like_age_10,Like_age_20,Like_age_30,Like_age_40,Like_age_50,URL,Status
4768,뮤지컬 셜록홈즈 콘서트,뮤지컬,두산아트센터 연강홀(자세히),2018.05.27,만 13세이상,2018.05.27,13,5.6%,94.4%,7.4%,31.9%,39.3%,15.6%,4.4%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=18005865,판매종료
4769,가족뮤지컬 “벌거벗은 임금님”,뮤지컬,중랑구민회관 대공연장(자세히),2018.05.27,24개월이상 관람가능,2018.05.27,,44.4%,55.6%,0%,0%,44.4%,55.6%,0%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=18005975,판매종료
4770,2018어린이가족뮤지컬 “빨간모자와늑대” - 오산,뮤지컬,오산문화예술회관 소공연장(자세히),2018.05.27,전체관람가,2018.05.27,,23.1%,76.9%,0%,2.6%,67.9%,28.2%,0%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=18001062,판매종료
4771,“2018” 가족뮤지컬 겨울왕국 - 제천,뮤지컬,제천문화회관 대공연장(자세히),2018.05.27,전체관람가,2018.05.27,,25.7%,74.3%,0%,14.3%,65.7%,14.3%,2.9%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=18005113,판매종료
4772,뮤지컬 헬로카봇 시즌3〈우당탕탕 집짓기 대작전〉- 포항,뮤지컬,포항문화예술회관 대공연장(자세히),2018.05.26 ~2018.05.27,24개월이상 관람가능,2018.05.26 ~2018.05.27,12,23.9%,76.1%,0.2%,4.4%,83.1%,11.5%,0.5%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=18001620,판매종료
4773,패밀리뮤지컬 〈헤이지니＆럭키강이〉 - 대전,뮤지컬,대전 우송예술회관(자세히),2018.05.26 ~2018.05.27,12개월이상 관람가능,2018.05.26 ~2018.05.27,10,24.5%,75.5%,1.4%,6.8%,71.6%,19.4%,0.6%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=18004823,판매종료
4774,어린이 뮤지컬 “로보카 폴리” 대전공연,뮤지컬,"한밭대학교 아트홀 N2동 (구,한밭대학교 문화예술관)(자세히)",2018.05.26 ~2018.05.27,24개월이상 관람가능,2018.05.26 ~2018.05.27,6,25.2%,74.8%,0%,4.7%,81.6%,12.5%,0.9%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=18005412,판매종료
4775,어린이뮤지컬〈시크릿쥬쥬 시즌2〉 - 제주,뮤지컬,제주아트센터(자세히),2018.05.26 ~2018.05.27,24개월이상 관람가능,2018.05.26 ~2018.05.27,5,19.8%,80.2%,0%,5%,76.7%,17%,0.7%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=18002609,판매종료
4776,가족뮤지컬 ‘출동! 슈퍼윙스’ - 성남,뮤지컬,성남아트센터 앙상블시어터(자세히),2018.05.26 ~2018.05.27,24개월이상 관람가능,2018.05.26 ~2018.05.27,4,29%,71%,0%,2.5%,83.7%,13.4%,0.4%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=18003945,판매종료
4777,(2018 어린이율동놀이뮤지컬) 호비쇼 - 대구,뮤지컬,대구보건대 인당아트홀(자세히),2018.05.26 ~2018.05.27,전체관람가,2018.05.26 ~2018.05.27,4,17.9%,82.1%,0%,4.2%,87.1%,8.5%,0.2%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=18000815,판매종료
4778,［고양］2018 캐릭터 뮤지컬 〈파워레인저 애니멀포스〉,뮤지컬,고양아람누리 아람극장(자세히),2018.05.26 ~2018.05.27,24개월이상 관람가능,2018.05.26 ~2018.05.27,4,25.2%,74.8%,0%,4%,74%,20.2%,1%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=18003433,판매종료
4779,(2018년 가족뮤지컬) 엄마 까투리 - 인천,뮤지컬,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=17018156,판매취소
4780,［창원］싱어롱 콘서트 뮤지컬 ‘Live Show’ 〈무지개 물고기〉,뮤지컬,창원 성산아트홀 소극장(자세히),2018.05.26 ~2018.05.27,전체관람가,2018.05.26 ~2018.05.27,3,16.6%,83.4%,0%,2%,77.5%,18.6%,0.3%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=18003880,판매종료
4781,2018 페스티발 뮤지컬 〈숲의 요정 페어리루〉 전국투어 - 전주,뮤지컬,전북대학교 삼성문화회관(자세히),2018.05.26 ~2018.05.27,전체관람가,2018.05.26 ~2018.05.27,3,23.5%,76.5%,0.3%,4%,67.9%,26.5%,0.3%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=18005313,판매종료
4782,(2018 여수) 어린이뮤지컬 〈신비아파트〉,뮤지컬,여수엑스포컨벤션센터 엑스포홀(자세히),2018.05.26 ~2018.05.27,24개월이상 관람가능,2018.05.26 ~2018.05.27,2,21.1%,78.9%,0.3%,4%,75.6%,18.7%,0.3%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=18004955,판매종료
4783,베스트셀러 뮤지컬 〈우리아빠가 최고야〉 - 고양,뮤지컬,현대백화점 킨텍스점 9층 문화홀(자세히),2018.05.26 ~2018.05.27,24개월이상 관람가능,2018.05.26 ~2018.05.27,,14.3%,85.7%,0%,0%,100%,0%,0%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=18006383,판매종료
4784,프린세스 공주뮤지컬쇼 - 용인,뮤지컬,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=18005623,판매취소
4785,가족뮤지컬 〈알라딘 - 대구〉,뮤지컬,대구 신세계백화점 8층 문화홀(자세히),2018.05.26 ~2018.05.27,24개월이상 관람가능,2018.05.26 ~2018.05.27,,0%,100%,0%,0%,96.2%,3.8%,0%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=18005339,판매종료
4786,뮤지컬 터닝메카드R〈최후의 레이서〉- 광주,뮤지컬,광주문화예술회관 대극장(자세히),2018.05.26,24개월이상 관람가능,2018.05.26,4,29.9%,70.1%,0.3%,4.4%,76.8%,18.1%,0.3%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=18004052,판매종료
4787,윤학 클래식 뮤지컬〈첫사랑〉,뮤지컬,흰물결아트센터(자세히),2018.05.26,만 7세이상,2018.05.26,1,NA,NA,NA,NA,NA,NA,NA,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=18003598,판매종료
4788,2018＂어린이가족뮤지컬＂빨간모자와늑대＂- 천안,뮤지컬,천안시민문화여성회관 성환분관(자세히),2018.05.26,전체관람가,2018.05.26,1,12%,88%,0%,24%,64%,12%,0%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=18003456,판매종료
4789,“2018” 가족뮤지컬 겨울왕국 - 동두천,뮤지컬,동두천 시민회관(자세히),2018.05.26,전체관람가,2018.05.26,,21.1%,78.9%,5.3%,5.3%,63.2%,21.1%,0%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=18005186,판매종료
4790,가족뮤지컬 ‘렛잇고2’ - 충주,뮤지컬,충주문화회관(자세히),2018.05.26,24개월이상 관람가능,2018.05.26,,20%,80%,0%,15%,75%,10%,0%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=18005460,판매종료
4791,(서귀포)가족뮤지컬 “아기돼지 삼형제”,뮤지컬,서귀포예술의전당 대극장(자세히),2018.05.26,24개월이상 관람가능,2018.05.26,,24.6%,75.4%,0%,10.5%,73.7%,15.8%,0%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=18006090,판매종료
4792,뮤지컬 〈명성황후〉 - 대전,뮤지컬,대전예술의전당 아트홀(자세히),2018.05.25 ~2018.05.27,만 7세이상,2018.05.25 ~2018.05.27,11,29.3%,70.7%,1.8%,20.3%,28.3%,34.5%,11.1%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=18004008,판매종료
4793,가족 성장 뮤지컬 〈비커밍맘〉,뮤지컬,강동아트센터 대극장 한강(자세히),2018.05.25 ~2018.05.27,만 5세이상,2018.05.25 ~2018.05.27,1,23.2%,76.8%,0%,17%,50%,11.6%,19.6%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=18004496,판매종료
4794,명작 가족뮤지컬 〈인어공주-대구〉,뮤지컬,대구어린이회관 꾀꼬리극장(자세히),2018.05.25 ~2018.05.27,24개월이상 관람가능,2018.05.25 ~2018.05.27,1,19.7%,80.3%,0%,1.6%,83.6%,11.5%,1.6%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=18001913,판매종료
4795,뮤지컬 팬레터 - 김해,뮤지컬,김해문화의전당 마루홀(자세히),2018.05.25 ~2018.05.26,만 12세이상,2018.05.25 ~2018.05.26,157,3.9%,96.1%,20.5%,52.3%,17.5%,7%,2.4%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=18001421,판매종료
4796,뮤지컬 〈시카고〉,뮤지컬,디큐브아트센터(자세히),2018.05.22 ~2018.08.05,중학생이상 관람가,2018.05.22 ~2018.08.05,615,27.3%,72.7%,2.7%,33%,31.7%,22%,9.2%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=18002984,판매종료
4797,서울상상나라극장 골라보는 어린이뮤지컬,뮤지컬,서울 상상나라극장(자세히),2018.05.22 ~2018.06.24,전체관람가,2018.05.22 ~2018.06.24,1,0%,100%,0%,0%,100%,0%,0%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=18006890,판매종료
4798,(부천)2018년 가족뮤지컬 신데렐라,뮤지컬,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=18005620,판매취소
4799,"2018, 판타지 가족뮤지컬 “겨울왕국” - 아산",뮤지컬,아산시 여성회관（구.시민생활관）(자세히),2018.05.22,24개월이상 관람가능,2018.05.22,,24.8%,75.2%,0%,13.3%,66.7%,20%,0%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=18004242,판매종료
4800,어린이 뮤지컬 〈로보카 폴리〉 - 청주,뮤지컬,현대백화점 충청점 7층 문화홀(토파즈홀)(자세히),2018.05.20 ~2018.05.22,24개월이상 관람가능,2018.05.20 ~2018.05.22,2,27.6%,72.4%,0%,10.3%,79.3%,6.9%,3.4%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=18005888,판매종료
4801,［제주］싱어롱 콘서트 뮤지컬 ‘Live Show’ 무지개물고기,뮤지컬,제주문예회관 대극장(자세히),2018.05.20 ~2018.05.22,전체관람가,2018.05.20 ~2018.05.22,1,18.7%,81.3%,0.2%,3.9%,78.6%,16.7%,0%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=18003663,판매종료
4802,2018년 특선 가족뮤지컬 “인어공주” - 제주,뮤지컬,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=18002635,판매취소
4803,3D가족뮤지컬 이상한나라의 앨리스-화성,뮤지컬,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=18004240,판매취소
4804,가족뮤지컬 ‘렛잇고2’ - 강릉,뮤지컬,강릉아트센터 소극장(자세히),2018.05.20,24개월이상 관람가능,2018.05.20,1,24.6%,75.4%,0%,8.8%,73.7%,15.8%,1.8%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=18006088,판매종료
4805,［춘천］ 싱어롱 콘서트 뮤지컬 ‘Live Show’ 〈무지개 물고기〉,뮤지컬,춘천문화예술회관 대공연장(자세히),2018.05.20,24개월이상 관람가능,2018.05.20,1,13.1%,86.9%,0.3%,3.9%,75.5%,19.7%,0.3%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=18002377,판매종료
4806,가족뮤지컬 〈바다탐험대 옥토넛-앵콜〉- 대구,뮤지컬,대구보건대 인당아트홀(자세히),2018.05.19 ~2018.05.20,12개월이상 관람가능,2018.05.19 ~2018.05.20,6,19.7%,80.3%,0%,3.8%,81.7%,13.8%,0.2%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=18001871,판매종료
4807,［용인］2018 캐릭터 뮤지컬〈파워레인저 애니멀포스〉,뮤지컬,용인포은아트홀(자세히),2018.05.19 ~2018.05.20,24개월이상 관람가능,2018.05.19 ~2018.05.20,4,32%,68%,0.2%,2.1%,73.3%,23.3%,0.4%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=18003083,판매종료
4808,어린이뮤지컬 〈신비아파트〉 - 경기광주,뮤지컬,남한산성아트홀 대극장(자세히),2018.05.19 ~2018.05.20,24개월이상 관람가능,2018.05.19 ~2018.05.20,3,27.5%,72.5%,1.6%,5.2%,68.5%,23.1%,0.8%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=18003571,판매종료
4809,(2018 어린이율동놀이뮤지컬) 호비쇼 - 용인,뮤지컬,용인시문예회관 처인홀(자세히),2018.05.19 ~2018.05.20,전체관람가,2018.05.19 ~2018.05.20,3,17.6%,82.4%,0%,3%,85.5%,11.5%,0%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=18000861,판매종료
4810,［인천남동］앤서니 브라운 - 체험뮤지컬〈신비한 놀이터〉,뮤지컬,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=18005194,판매취소
4811,창작뮤지컬 〈F.I.L.O.〉,뮤지컬,서대문문화체육회관 대극장(자세히),2018.05.19 ~2018.05.20,만 7세이상,2018.05.19 ~2018.05.20,,31.8%,68.2%,0%,45.5%,45.5%,9.1%,0%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=18006453,판매종료
4812,뮤지컬 비애로 - 목포,뮤지컬,목포문화예술회관(자세히),2018.05.19 ~2018.05.20,만 7세이상,2018.05.19 ~2018.05.20,,44.4%,55.6%,0%,11.1%,22.2%,66.7%,0%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=18006348,판매종료
4813,프린세스 공주 뮤지컬 쇼 - 익산,뮤지컬,익산 솜리문화예술회관 중공연장(자세히),2018.05.19 ~2018.05.20,24개월이상 관람가능,2018.05.19 ~2018.05.20,,19%,81%,0%,6%,79.8%,10.7%,1.2%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=18005621,판매종료
4814,뮤지컬 터닝메카드R〈최후의 레이서〉-부천,뮤지컬,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=18003490,판매취소
4815,2018어린이가족뮤지컬 “빨간모자와늑대” - 안양,뮤지컬,안양아트센터 수리홀(자세히),2018.05.19,전체관람가,2018.05.19,1,26.7%,73.3%,0%,4.4%,82.2%,11.1%,0%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=18001060,판매종료
4816,가족뮤지컬 “렛잇고2” - 동대문,뮤지컬,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=18005332,판매취소
4817,“2018” 가족뮤지컬 피터팬,뮤지컬,노원구민회관 대강당(자세히),2018.05.19,전체관람가,2018.05.19,,33.3%,66.7%,0%,16.7%,50%,33.3%,0%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=18004539,판매종료
4818,(과천)감성가족뮤지컬 미녀 와 야수,뮤지컬,과천시민회관 대극장(자세히),2018.05.19,24개월이상 관람가능,2018.05.19,,21%,79%,0%,3.2%,54.8%,37.1%,3.2%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=18005504,판매종료
4819,(충주)2018년 가족뮤지컬-피터팬,뮤지컬,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=18003061,판매취소
4820,뮤지컬 〈바람과 함께 사라지다〉,뮤지컬,샤롯데씨어터(자세히),2018.05.18 ~2018.07.29,미취학아동입장불가,2018.05.18 ~2018.07.29,192,26.8%,73.2%,2.8%,26%,35.2%,24.2%,10%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=18004852,판매종료
4821,뮤지컬〈6시 퇴근〉,뮤지컬,드림아트센터 2관(자세히),2018.05.18 ~2018.07.29,만 10세이상,2018.05.18 ~2018.07.29,52,6.3%,93.7%,5.1%,35.5%,42.5%,14.9%,1.9%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=18005627,판매종료
4822,뮤지컬 〈명성황후〉 - 전주,뮤지컬,한국소리문화의전당 모악당(자세히),2018.05.18 ~2018.05.20,만 7세이상,2018.05.18 ~2018.05.20,11,25.7%,74.3%,2.5%,25.4%,32.4%,27.3%,9.8%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=18002156,판매종료
4823,뮤지컬 〈여신님이 보고 계셔〉 - 군포,뮤지컬,군포문화예술회관 수리홀(자세히),2018.05.18 ~2018.05.19,만 11세이상,2018.05.18 ~2018.05.19,6,4.2%,95.8%,7.6%,45.8%,26.7%,8.2%,2.6%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=18003932,판매종료
4824,조관우 뮤지컬 콘서트 - 부산,콘서트,부산 동래문화회관 대극장(자세히),2018.05.18 ~2018.05.19,만 12세이상,2018.05.18 ~2018.05.19,1,41.7%,58.3%,0%,27.8%,16.7%,27.8%,27.8%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=18005413,판매종료
4825,뮤지컬 〈용의자 X의 헌신〉,뮤지컬,대명문화공장 1관 비발디파크홀(자세히),2018.05.15 ~2018.08.12,만 13세이상,2018.05.15 ~2018.08.12,201,8.5%,91.5%,11.6%,40.1%,31.6%,13.3%,2.9%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=18004859,판매종료
4826,“2018” 가족뮤지컬 겨울왕국 - 수원,뮤지컬,장안구민회관 한누리아트홀(자세히),2018.05.13,전체관람가,2018.05.13,2,27.3%,72.7%,0%,0%,100%,0%,0%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=18005110,판매종료
4827,가족뮤지컬 “렛잇고2” - 제천,뮤지컬,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=18005382,판매취소
4828,"패밀리쇼, 어린이 뮤지컬 〈핑크퐁과 상어가족〉 - 수원",뮤지컬,수원SK아트리움 대공연장(자세히),2018.05.12 ~2018.05.13,24개월이상 관람가능,2018.05.12 ~2018.05.13,18,29.6%,70.4%,0%,8.1%,75.4%,15%,0.9%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=18003344,판매종료
4829,(2018 부산KBS) 어린이뮤지컬 〈신비아파트-앵콜〉,뮤지컬,부산 KBS홀(자세히),2018.05.12 ~2018.05.13,24개월이상 관람가능,2018.05.12 ~2018.05.13,7,19.1%,80.9%,0.7%,3.1%,71.7%,23.9%,0.2%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=18004597,판매종료
4830,［전주］2018 캐릭터 뮤지컬 〈파워레인저 애니멀포스〉,뮤지컬,한국소리문화의전당 모악당(자세히),2018.05.12 ~2018.05.13,24개월이상 관람가능,2018.05.12 ~2018.05.13,6,26.3%,73.7%,0.2%,3.9%,77.1%,17.2%,0.5%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=18003503,판매종료
4831,가족뮤지컬 ［엉뚱발랄 콩순이:드래곤 편］ - 인천,뮤지컬,인천서구문화회관 대공연장(자세히),2018.05.12 ~2018.05.13,12개월이상 관람가능,2018.05.12 ~2018.05.13,5,21.2%,78.8%,0%,8.8%,81.2%,8.8%,1.2%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=18004387,판매종료
4832,뮤지컬 헬로카봇 시즌3〈우당탕탕 집짓기 대작전〉- 목포,뮤지컬,목포시민문화체육센터 대공연장(자세히),2018.05.12 ~2018.05.13,24개월이상 관람가능,2018.05.12 ~2018.05.13,3,19%,81%,0%,7%,77%,14%,1%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=18004372,판매종료
4833,［용인］가족뮤지컬 〈고고다이노 공룡탐험대〉,뮤지컬,용인시문예회관 처인홀(자세히),2018.05.12 ~2018.05.13,전체관람가,2018.05.12 ~2018.05.13,2,28%,72%,0%,2.2%,79.6%,17.2%,1.1%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=18003957,판매종료
4834,(2018 어린이율동놀이뮤지컬) 호비쇼 - 창원,뮤지컬,창원 성산아트홀 소극장(자세히),2018.05.12 ~2018.05.13,전체관람가,2018.05.12 ~2018.05.13,1,14.7%,85.3%,0%,5.2%,85.7%,8%,0.4%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=18000866,판매종료
4835,어린이식생활개선뮤지컬 〈헨젤과 그레텔 - 대구〉,뮤지컬,대구 신세계백화점 8층 문화홀(자세히),2018.05.12 ~2018.05.13,24개월이상 관람가능,2018.05.12 ~2018.05.13,1,12.5%,87.5%,0%,3.1%,84.4%,12.5%,0%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=18005260,판매종료
4836,어린이 뮤지컬 〈로보카 폴리〉 - 제주,뮤지컬,한라아트홀 대극장(자세히),2018.05.12 ~2018.05.13,24개월이상 관람가능,2018.05.12 ~2018.05.13,1,20%,80%,0.6%,6.7%,81.7%,10.6%,0%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=18005636,판매종료
4837,뮤지컬〈여신님이 보고계셔〉- 의정부,뮤지컬,의정부예술의전당 대극장(자세히),2018.05.12,만 11세이상,2018.05.12,29,3%,97%,17.8%,47.1%,25.7%,8.1%,0.9%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=18001979,판매종료
4838,뮤지컬 존 도우 - 안양,뮤지컬,안양아트센터 관악홀(자세히),2018.05.12,만 7세이상,2018.05.12,2,5.8%,94.2%,7.8%,47.8%,32.8%,8.2%,3.1%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=18004025,판매종료
4839,(안산)감성가족뮤지컬 미녀와야수,뮤지컬,안산문화예술의전당 달맞이극장(자세히),2018.05.12,24개월이상 관람가능,2018.05.12,1,20.3%,79.7%,3.8%,6.3%,74.7%,13.9%,1.3%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=18005146,판매종료
4840,뮤지컬「넌센스」 - 인천,뮤지컬,남동소래아트홀 대공연장(자세히),2018.05.12,만 7세이상,2018.05.12,1,25%,75%,0.7%,8.1%,22.8%,54.4%,12.5%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=18004756,판매종료
4841,가족 뮤지컬 ‘누가 내 머리에 똥 쌌어？’ - 태백,뮤지컬,태백문화예술회관 대공연장(자세히),2018.05.12,전체관람가,2018.05.12,1,24.5%,75.5%,0%,5.6%,70.6%,23.1%,0.7%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=18006015,판매종료
4842,［의정부］어린이뮤지컬 “프린세스 공주뮤지컬쇼”,뮤지컬,신한대학교 벧엘관(자세히),2018.05.12,24개월이상 관람가능,2018.05.12,,10.7%,89.3%,0%,0%,82.1%,17.9%,0%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=18005346,판매종료
4843,싱어롱 콘서트 뮤지컬 ‘Live Show’ 〈무지개 물고기〉- 이천,뮤지컬,이천아트홀 대공연장(자세히),2018.05.12,24개월이상 관람가능,2018.05.12,,27%,73%,0%,5.6%,70.2%,23.6%,0.6%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=18004948,판매종료
4844,뮤지컬 〈왕초품바-창원〉,뮤지컬,창원 늘푸른 전당(자세히),2018.05.12,만 7세이상,2018.05.12,,7.1%,92.9%,14.3%,21.4%,50%,14.3%,0%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=18001932,판매종료
4845,뮤지컬 천로역정 - 당진,뮤지컬,당진 문예의전당 대공연장(자세히),2018.05.12,만 10세이상,2018.05.12,,36.4%,63.6%,0%,27.3%,18.2%,45.5%,0%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=18003876,판매종료
4846,뮤지컬〈명성황후〉- 울산공연,뮤지컬,울산문화예술회관 대공연장(자세히),2018.05.11 ~2018.05.13,만 7세이상,2018.05.11 ~2018.05.13,8,28%,72%,2%,21.6%,43.3%,23.7%,7.4%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=18001910,판매종료
4847,(2018 부산 신세계) 가족뮤지컬 〈어린이 캣‘s〉,뮤지컬,신세계센텀시티 9층 문화홀(자세히),2018.05.11 ~2018.05.13,24개월이상 관람가능,2018.05.11 ~2018.05.13,1,20.6%,79.4%,0%,0.9%,65.8%,32.9%,0%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=18005063,판매종료
4848,2018 페스티발 뮤지컬 〈숲의 요정 페어리루〉 전국투어 - 서울 (5/8~5/22),뮤지컬,더케이아트홀(자세히),2018.05.08 ~2018.05.22,전체관람가,2018.05.08 ~2018.05.22,4,23.7%,76.3%,0.9%,0.9%,63.2%,35%,0%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=18005796,판매종료
4849,어린이음악콘서트뮤지컬 〈브레멘음악대〉,뮤지컬,여의도 KBS아트홀(자세히),2018.05.06 ~2018.05.07,전체관람가,2018.05.06 ~2018.05.07,2,57.1%,42.9%,0%,0%,57.1%,42.9%,0%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=18005721,판매종료
4850,어린이 뮤지컬 〈로보카 폴리〉 - 고양,뮤지컬,현대백화점 킨텍스점 9층 문화홀(자세히),2018.05.06 ~2018.05.07,24개월이상 관람가능,2018.05.06 ~2018.05.07,,30.4%,69.6%,0%,4.3%,87%,6.5%,2.2%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=18005192,판매종료
4851,가족뮤지컬 “렛잇고2” - 장안,뮤지컬,장안구민회관 한누리아트홀(자세히),2018.05.06,24개월이상 관람가능,2018.05.06,,31.8%,68.2%,0%,13.6%,63.6%,22.7%,0%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=18005371,판매종료
