,Title,Genre,Place,Time,Age,Period,TicketCast,Like_man,Like_woman,Like_age_10,Like_age_20,Like_age_30,Like_age_40,Like_age_50,URL,Status
6751,대학로 뮤지컬〈작업의 정석〉-11월,뮤지컬,대학로 뮤지컬 순위아트홀(구.레몬아트홀)(자세히),2017.01.05 ~2017.11.26,만 13세이상,2017.01.05 ~2017.11.26,6,43.1%,56.9%,5%,42.6%,33.1%,13.5%,5.4%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=16016071,판매종료
6752,가족뮤지컬 “겨울왕국” - 수원,뮤지컬,남문로데오아트홀(자세히),2017.01.05 ~2017.02.26,24개월이상 관람가능,2017.01.05 ~2017.02.26,1,41.2%,58.8%,0%,5.9%,64.7%,29.4%,0%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=16013963,판매종료
6753,ART9페스티벌 3탄 - 가족뮤지컬 〈빈센트 반고흐〉 - 광주,뮤지컬,광주 유스퀘어문화관 동산아트홀(자세히),2017.01.05 ~2017.02.24,만 5세이상,2017.01.05 ~2017.02.24,1,18.8%,81.3%,0%,0%,68.8%,31.3%,0%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=16015972,판매종료
6754,가족뮤지컬 〈쿵푸꼬마팬더〉,뮤지컬,한국방송회관 2층 코바코홀(자세히),2017.01.03 ~2017.01.29,24개월이상 관람가능,2017.01.03 ~2017.01.29,,NA,NA,NA,NA,NA,NA,NA,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=16016076,판매종료
6755,뮤지컬 데스노트（Death Note；The Musical）,뮤지컬,예술의전당 오페라극장(자세히),2017.01.03 ~2017.01.26,미취학아동입장불가,2017.01.03 ~2017.01.26,791,15.9%,84.1%,10.3%,50.3%,22.3%,12.4%,3.7%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=16014976,판매종료
6756,뮤지컬 〈구텐버그〉 - 쇼노트데이,뮤지컬,충무아트센터 중극장 블랙(자세히),2017.01.03 ~2017.01.04,만 7세이상,2017.01.03 ~2017.01.04,6,1.1%,98.9%,3.8%,53.2%,37.1%,4.2%,1.5%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=16015388,판매종료
6757,가족뮤지컬 “렛잇고” - 평택,뮤지컬,평택서부문예회관(안중)(자세히),2017.01.03,24개월이상 관람가능,2017.01.03,,17.2%,82.8%,1.6%,3.1%,70.3%,20.3%,3.1%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=16015092,판매종료
6758,뮤지컬 〈지킬앤하이드〉 월드 투어 - 부산,뮤지컬,소향씨어터 신한카드홀(자세히),2016.12.31 ~2017.01.08,미취학아동입장불가,2016.12.31 ~2017.01.08,55,33.1%,66.9%,1.8%,25.9%,38.6%,26.1%,6.9%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=16012290,판매종료
6759,가족뮤지컬 〈뽀로로와 노래해요〉 - 부천,뮤지컬,복사골문화센터 아트홀(자세히),2016.12.31 ~2017.01.01,20개월이상 관람가능,2016.12.31 ~2017.01.01,7,27.3%,72.7%,0.5%,6%,81.8%,9.9%,1.3%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=16014526,판매종료
6760,뮤지컬 〈새로워진 넌센스Ⅱ〉 - 광주,뮤지컬,광주문화예술회관 대극장(자세히),2016.12.31 ~2017.01.01,만 7세이상,2016.12.31 ~2017.01.01,3,32.8%,67.2%,0.3%,24.2%,34.1%,30.5%,9.1%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=16013292,판매종료
6761,2016가족뮤지컬 겨울왕국 - 의정부,뮤지컬,신한대학교 벧엘관(자세히),2016.12.31,24개월이상 관람가능,2016.12.31,2,18.5%,81.5%,0%,9.9%,77.8%,12.3%,0%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=16015150,판매종료
